lemma	pos	form	sentence	source_corpus
tuo	DET	noista	Mutta eihän se johdu noista miehistä, jotka odottavat sua tuolla aulassa?	fi
tuo	DET	tuolta	Isäsi varmasti katselee tuolta taivaasta ja on ylpeä sinusta.	fi
antaa	VERB	anna	Suvi olisi ehkä hyväksynyt sen jossain vaiheessa, mutta valehtelua hän ei anna anteeksi.	fi
antaa	VERB	annettava	Näiden on sinun annettava rauhassa maata maaliskuuhun asti.	fi
jokin	DET	jotain	Mieleni teki tehdä jotain hyödyllistä.	fi
jokin	DET	jollain	Hän sanoo suoraan olevansa todennäköisesti älykäs, vaikka jollain saattaa olla erilainenkin näkemys hänestä.	fi
aika	NOUN	aikaamme	Päivä on meidän aikaamme.	fi
aika	NOUN	ajalla	Tämä näkyy esimerkiksi siinä, ettei potilaan omalla ajalla ole usein mitään arvoa.	fi
kertoa	VERB	kerrottava	Minun on kerrottava sinulle totuus.	fi
kertoa	VERB	kerroimme	Koko sen ajan he ajattelevat edelleen, että olemme sitä, mitä kerroimme.	fi
puhua	VERB	puhuen	Totta puhuen en etsi ketään, sillä minulla on jo joku.	fi
puhua	VERB	puhuisit	Puhu minulle niin kun puhuisit itsellesi.	fi
mies	NOUN	miehiäni	Tiedät, mikä olen miehiäni.	fi
mies	NOUN	miehiäsi	Luuletko etten tiedä, mikä olet miehiäsi?	fi
ottaa	VERB	otettiin	Siihen aikaan otettiin muutenkin vähän kuvia.	fi
ottaa	VERB	ottaisit	Niin pitkään elin siinä kuvitelmassa, että sinä vielä ottaisit minut takaisin.	fi
asia	NOUN	asialla	Aina asialla, vielä enemmän ilman.	fi
asia	NOUN	asiaani	Kuten tavallista, hän päästi minut sisään vasta kun olin kertonut asiaani.	fi
kuka	PRON	kenet	Se saisi kenet tahansa näyttämään erilaiselta.	fi
kuka	PRON	keneltä	En enää muista keneltä kuulin, että Yllätyksen lapsi voisi poistaa kirouksen.	fi
tarvita	VERB	tarvitsisivat	Mihin he sitä tarvitsisivat?	fi
tarvita	VERB	tarvitsemani	Minä taas sain tarvitsemani tiedon.	fi
oikea	ADJ	oikeastaan	Haluan kertoa hänelle, miltä isän kuolema tuntuu, tai kuinka se ei oikeastaan tunnu miltään.	fi
oikea	ADJ	oikeaksi	Eikä sen sanan jälkeen enää ollut ketään, joka olisi epäillyt oikeaksi Panun panemaa arpaa.	fi
kaikki	DET	kaikin	Ja kaikin puolin tuntui niin hyvältä olla.	fi
kaikki	DET	kaikeksi	Nyt se ei koskaan pääse siitä irti, nyt se on kaikeksi iäkseen kirottu!	fi
pää	NOUN	päältäni	Ensimmäinen on sellainen, että nouset päältäni ja me puhumme.	fi
pää	NOUN	päälläni	Toinen miehistä istuu päälläni ja pitää käsiäni selän takana.	fi
isä	NOUN	isälle	Mutta älä sano isälle, tappaa minut, jos tietää.	fi
isä	NOUN	isästänne	Voin kertoa lisää tarinoita isästänne.	fi
lähteä	VERB	lähditte	Pian sen jälkeen, kun te lähditte, vielä tammikuussa, hän lähti pois.	fi
lähteä	VERB	lähteminen	Ja sitten puku, aluksen ulkopuolelle lähteminen?	fi
tai	CCONJ	tahi	Sama kai se on, uskooko tahi ei...	fi
katsoa	VERB	katsoisivat	Ne katsovat mua eri tavalla kuin muuten katsoisivat.	fi
katsoa	VERB	katsoi	Aluksen kapteeni katsoi merta.	fi
tee	NOUN	teellä	Hän täytti kuppinsa höyryävällä teellä vailla mitään kiirettä.	fi
tee	NOUN	teensä	Hänen teensä oli jäähtynyt.	fi
äiti	NOUN	äidistäni	Tajuan, että en tiedä äidistäni mitään.	fi
äiti	NOUN	äitiinsä	Sekin on tullut äitiinsä.	fi
käydä	VERB	käyn	Ainakin on rauhallista, kun käyn saunassa yksin.	fi
käydä	VERB	käyminen	Virkamiehen kimppuun käyminen voi tulla teille kalliiksi...	fi
näyttää	VERB	näyttänyt	Jos isä oli niin hyvä, miksi hän ei koskaan näyttänyt sitä meille?	fi
näyttää	VERB	näytettiin	Ennen lähtöä minulle näytettiin hänestä kuva, ja siinä hän ei ollut yhtään paksu.	fi
anne	NOUN	Annen	Minulla oli myös hänen miehensä numero, mutta valitsin mieluummin Annen.	fi
yrittää	VERB	yrittänyt	Se on uusi tilanne ihmiselle, joka on yrittänyt koko elämänsä olla huomaamaton.	fi
yrittää	VERB	yritimme	Myös Jarkko ja minä yritimme lasta monta vuotta, ennen kuin onnistuimme.	fi
odottaa	VERB	odottamalla	Mikä on todennäköisyys sille, että asia paranee odottamalla?	fi
odottaa	VERB	odottavat	Mutta eihän se johdu noista miehistä, jotka odottavat sua tuolla aulassa?	fi
eikä	VERB	ettekä	Minä laitan Samin soittamaan teille, ja te ette tapa ettekä vammauta sitä.	fi
eikä	VERB	eivätkä	Nämäkään juhlat eivät ole minun, eivätkä sellaiseksi koskaan muutu.	fi
pois	ADV	Poissa	Poissa oli siis viimeinkin kaikkine kammoineen, painajaisineen ja sielua ja sydäntä väristyttävine viluineen.	fi
jo	ADV	Josi	Kirin viritteli käyntiin kaksi ensimmäistä kavennusosumaa tehnyt Roman Josi.	fi
kuolla	VERB	kuolitte	Luulin, että te kuolitte!	fi
kuolla	VERB	Kuolkaa	Hän ei ymmärtänyt heitä. » Kuolkaa nälkään sitten », hän sanoi.	fi
uskoa	VERB	uskoisimme	Mutta miksi me uskoisimme sinua?	fi
uskoa	VERB	uskoen	Toivoa täynnä, uskoen että tapahtuu se, minkä kuuluukin tapahtua, annan ääneni.	fi
selvä	ADJ	selväksi	Syy käy nopeasti selväksi.	fi
selvä	ADJ	selville	He tietävät, kuka olen, ja saavat helposti selville, missä asun.	fi
auttaa	VERB	autan	Sitten autan hänet taksiin.	fi
auttaa	VERB	autettiin	Pihalla seisoi ilmavoimien raskas helikopteri, johon naiset autettiin.	fi
ihminen	NOUN	ihmisestä	On kuitenkin vaikea erottaa sairaus ihmisestä.	fi
ihminen	NOUN	ihmisiin	Vanhempieni salaisuus vei minulta uskon ihmisiin.	fi
uusi	ADJ	uusiksi	Täytyy mennä elämässä eteenpäin ja sisustaa kotia uusiksi.	fi
uusi	ADJ	uusin	Niitä ei voi vallata noin vain, eikä siinä auta uusin tekniikkakaan.	fi
päivä	NOUN	päiväksi	Voisin jäädä tähän koko päiväksi.	fi
päivä	NOUN	päiviin	Alkoi sota, joka on jatkunut näihin päiviin saakka.	fi
kaksi	NUM	kahteen	Äiti haluaa katsoa samaan aikaan uutisia, mutta ei jaksa keskittyä kahteen asiaan yhtä aikaa.	fi
kaksi	NUM	kahdesta	Minun ei kannata maksaa kahdesta asunnosta, joten muutan äidin luokse asumaan.	fi
poika	NOUN	poikanne	Arvon rouva, katsokaa nyt vähän poikanne perään!	fi
poika	NOUN	pojastani	Siksikö te pyysitte minut tänne, puhumaan pojastani?	fi
tapahtua	VERB	tapahtumalla	Palmerilla ei ollut harhaluuloja siitä, että tapahtumalla olisi mitään tekemistä hänen kanssaan.	fi
tapahtua	VERB	tapahtumatta	Jokaista todellisuuden hetkeä kohti oli lukemattomia heijastuksia, asioita, jotka jäivät ainiaaksi tapahtumatta.	fi
löytää	VERB	löydettiin	No ei, mutta löydettiin ratkaisu.	fi
löytää	VERB	löysimme	Olen iloinen, että löysimme toisemme taas – enemmän kuin iloinen.	fi
työ	NOUN	työtämme	Tämä on meidän työtämme.	fi
työ	NOUN	töitäni	Aiotko sinä sanoa äidillesi, että minä en tehnyt tänään töitäni kunnolla?	fi
voida	VERB	voisimme	Hänellä on jo yksi lapsi, ja voisimme hankkia yhdessä toisen.	fi
voida	VERB	voidessani	Olin silti tyytyväinen voidessani olla hänelle mieliksi.	fi
luulla	VERB	luulisivat	Jotta he luulisivat, että vanhus on hulluna minuun.	fi
luulla	VERB	luulevat	Äiti ja koko suku luulevat tietenkin, että olen rakastunut naiseen, mutta siinähän luulevat.	fi
kukaan	PRON	kenellekään	Niin ei saisi tapahtua kenellekään.	fi
kukaan	PRON	kenessäkään	Ei mitään erikoista kenessäkään.	fi
herra	NOUN	herroiksi	Siis ihan oikeasti, meistä tulee rikkaita ja elämme herroiksi.	fi
herra	NOUN	herraansa	Kukaan ei itse valitse herraansa, vaan herrat valitsevat, eikös näin ole?	fi
täytyä	VERB	täytyi	Kuulemma vain hän tiesi, mikä oli lapselle parasta ja miten vaippa täytyi vaihtaa.	fi
täytyä	VERB	täytyisi	Minun täytyisi käyttää luovuttajasiittiöitä, ja se maksaa tietysti lisää.	fi
sama	DET	samoihin	Kuuntelin hänen hyräilyään ja mietin, eikö hän koskaan kyllästynyt noihin samoihin sävelmiin.	fi
sama	DET	samoin	Tuntuisi absurdilta, että miehet tekisivät niin, vaikka he todennäköisesti ajattelevat opesta samoin.	fi
paha	ADJ	pahoillasi	Älä ole pahoillasi, kun ne alkavat.	fi
paha	ADJ	pahaa	Mitä pahaa siitä olisi voinut seurata?	fi
toinen	DET	toisistamme	Nyt vain nautitaan toisistamme ja elämästä, minä sanon.	fi
toinen	DET	toisianne	Kertokaa kaikki ja koettakaa ymmärtää toisianne.	fi
vuosi	NOUN	vuosia	Jokainen osallistuja oli sanonut asiansa jo vuosia sitten, eikä kenenkään mielipide ollut muuttunut mihinkään.	fi
vuosi	NOUN	vuoden	Mutta suurin osa ihmisen keinovaloista palaa ympäri vuoden.	fi
aa	NOUN	aina	Ehkä olin aina aiemmin ollut valotunnelin vankina.	fi
aa	NOUN	Aineen	He eivät kyenneet niitä selittämään, he pitivät niitä Aineen antamina enteinä.	fi
soittaa	VERB	soita	Älä soita poliisille, minä sanon.	fi
soittaa	VERB	soitan	Mulla on nyt vähän tilanne päällä, mutta sopiiko, että mä soitan myöhemmin? minä kysyn.	fi
nimi	NOUN	nimelläsi	Kysyn vain siksi, että haluaisin puhutella sinua oikealla nimelläsi.	fi
nimi	NOUN	nimeni	Olin ollut vähällä sanoa oman nimeni, mutta keksin paremman vaihtoehdon.	fi
muu	DET	muutta	Vielä voi muutta hyvin.	fi
muu	DET	muut	Tuttuja nimiä, jotka yrittävät saada muut nauramaan ja tykkäämään itsestään.	fi
tosi	ADJ	totena	Se oli murtanut miehen, sitä ei voinut oikein pitää totena vieläkään.	fi
tosi	ADJ	todella	Jos sinne olisi ujutettu pahantahtoista koodia, kiinni jäämisen riski olisi todella suuri.	fi
tappaa	VERB	tappaisimme	Me vain tappaisimme toisemme.	fi
tappaa	VERB	tapettaisiin	Mutta en salli, että hänet tapettaisiin ilman että on ensin yritetty päästä pakoon.	fi
esi-	ADJ	edelle	Ja lisäksi sä menet aina asioiden edelle.	fi
esi-	ADJ	edeltä	Ehkä oli mennyt edeltä yhtymäpaikalle.	fi
lapsi	NOUN	lastemme	Jos emme me, niin meidän lapsemme tai lastemme lapset tekevät sen.	fi
lapsi	NOUN	lapseen	Mitä taas tuohon lapseen tulee, hänkin jäi henkiin sattumalta.	fi
enää	ADV	enään	Minun ei tarvitse enään piileskellä, ja voin palata kotiini.	fi
tuntea	VERB	tunnen	Olen yllättynyt siitä, miten vähän tunnen.	fi
tuntea	VERB	tuntemalla	Miten tällainen eläin voisi jäädä mainitsematta millään ihmisen tuntemalla rannalla?	fi
kerta	NOUN	kerrasta	Miten hän muistaa asioita kerrasta.	fi
kerta	NOUN	kertamme	Toinen kertamme sujui hyvin.	fi
itse	NOUN	itsestäni	Olen silti ylpeä itsestäni.	fi
itse	NOUN	itsenne	Saitte löytää ensin itsenne, ja olette nyt valmiita tähän.	fi
kuulla	VERB	kuultu	Nämä jutut on kuultu.	fi
kuulla	VERB	kuullut	En ole koskaan kuullut häntä noin vihaisena.	fi
juuri	NOUN	juuremme	Tämä, mitä täällä näet, on juuremme.	fi
juuri	NOUN	juurillemme	Meidän tulee olla uskollisia juurillemme.	fi
koti	NOUN	kotiin	Tulen kotiin myöhään illalla.	fi
koti	NOUN	koteihinne	Lähtekää siis kaikki koteihinne.	fi
tarkoittaa	VERB	tarkoitettava	Asioiden on tarkoitettava sille aina samaa.	fi
tarkoittaa	VERB	tarkoittava	Se on nimeäni tarkoittava ideogrammi.	fi
kunto	NOUN	kunnostasi	Entä, kun kaikki lähinnä puhuvat sinun kovasta kunnostasi?	fi
kunto	NOUN	kunnostamme	Kaikilla meillä ei ole etuoikeutta sotia etulinjassa, mutta ainakin voimme huolehtia kunnostamme.	fi
paikka	NOUN	paikkoja	Maailmassa on paljon paikkoja, joihin ei saa mennä lapsen kanssa.	fi
paikka	NOUN	paikalleni	Vai pitäisikö minun jäädä paikalleni odottamaan, kunnes minut löydetään?	fi
tyttö	NOUN	tyttöämme	Myös naapuri tuli auttamaan äitiä ja pientä tyttöämme, sanoo isä.	fi
tyttö	NOUN	tyttöjään	Hän ajatteli tyttöjään, jotka oli lähettänyt sinne.	fi
ajatella	VERB	ajateltiin	Näin ainakin silloin ajateltiin.	fi
ajatella	VERB	ajattelisivat	Mutta olen tehnyt kaikkeni, jotta ihmiset ajattelisivat toisin.	fi
etsiä	VERB	etsi	Totta puhuen en etsi ketään, sillä minulla on jo joku.	fi
etsiä	VERB	etsittävä	Mutta nyt tiesi hän ainakin, mistä vihollinen oli etsittävä.	fi
ymmärtää	VERB	ymmärtäisimme	Kuka tietää, ehkä silloin ymmärtäisimme paremmin toisiamme?	fi
ymmärtää	VERB	ymmärtäisin	Toisaalta olen asunut liian vähän aikaa, jotta oikeasti ymmärtäisin, mistä on kyse.	fi
raha	NOUN	rahansa	Isä on menettänyt kaikki rahansa.	fi
raha	NOUN	rahojaan	Hän ei halua menettää rahojaan, vaan hallita niitä.	fi
varma	ADJ	varmoja	He eivät kai olleet varmoja, mitä sinulle pitäisi tehdä.	fi
varma	ADJ	varmoista	Hän oli ajatellut että Molly puhui varmoista päivistä, mutta oli silti varonut hiukan.	fi
jälki	NOUN	jälkiäsi	Nyt sataa joka päivä, kukaan ei löydä jälkiäsi.	fi
jälki	NOUN	jälkiänne	Siitä lähtien olen etsinyt teidän jälkiänne.	fi
pyytää	VERB	pyydän	Mä pyydän, minä sanon.	fi
pyytää	VERB	pyysitte	Te pyysitte että kertoisin.	fi
ystävä	NOUN	ystävästä	Puhun heille ystävästä, eikä ystäviä voi olla koskaan liikaa.	fi
ystävä	NOUN	ystävillesi	Hän joi viiniä, ja sinä et koskaan tarjoa mitään kenellekään, vain lähimmille ystävillesi.	fi
auto	NOUN	autoista	En tiedä autoista mitään.	fi
auto	NOUN	autossasi	Onko sinulle autossasi takki?	fi
joku	DET	joillekuille	Hän arveli, että joillekuille nimillä oli edelleen merkitystä.	fi
joku	DET	jotakuta	Eikä sitä kertaa hiihtänyt Jorma metsässä, ettei jotakuta vähän hyräillyt.	fi
päästä	VERB	pääsee	Pimeää pääsee kaupungissa kokemaan niin harvoin.	fi
päästä	VERB	päästäneen	Niin kuului Meggien ensimmäinen ajatus, kun hän huomasi sanojen päästäneen hänet sisäänsä.	fi
kai	ADV	Kailla	Toisaalta myös Kailla oli vaikutusvaltaa.	fi
kai	ADV	Kain	Työmatkapyöräily oli ainoa liikuntamuoto, jolle Kain aikataulussa oli tilaa.	fi
jättää	VERB	jättäisit	Sinut sain takaisin, mutta jos saisit pitää oman pääsi, jättäisit minut uudelleen.	fi
jättää	VERB	jätettävä	Mutta miekka sinun on jätettävä minulle, ystävä hyvä.	fi
mieli	NOUN	mielellämme	Olemme rehellistä väkeä, eikä meillä ole mitään syytä pelätä viranomaisia, päinvastoin, olemme mielellämme avuksi.	fi
mieli	NOUN	mielin	Sieltä se nyt surkein mielin alas maahan katselee.	fi
viedä	VERB	vei	Vanhempieni salaisuus vei minulta uskon ihmisiin.	fi
viedä	VERB	viemme	Lähden kohta hänen luokseen... haen hänet tänne... viemme kirkolle siskon... otatko hänet?	fi
vastata	VERB	vastasit	Tai … ehkä sittenkin vastasit.	fi
vastata	VERB	vastaat	Jos kysyn jotakin ja vastaat epärehellisesti, myös se merkitsee opetuksen välitöntä loppua.	fi
rakastaa	VERB	rakastimme	Me molemmat rakastimme paljon.	fi
rakastaa	VERB	rakastamasi	Älä anna rakastamasi tytön kuolla?	fi
puoli	ADJ	puolelleni	Nuoret miehet puolelleni tahdon, vanhat eivät uskalla, yksin en voi.	fi
puoli	ADJ	puolellanne	Vakuutan, että olemme yhä teidän puolellanne, sekä minä että Vilgefortz.	fi
tapa	NOUN	tavallani	En jää luoksesi, mutta taisin minäkin olla rakastunut sinuun … Omalla tavallani.	fi
tapa	NOUN	tapanne	Toiseksi, ainoa tapanne selvitä tästä päivästä on se, että teette täsmälleen kuten sanon.	fi
ulkona	ADV	ulompana	Winston tähyili ulompana olevalle niitylle ja koki oudon, vähittäisen järkytyksen kun tunnisti sen.	fi
ulkona	ADV	ulkoa	Kun ei liene kotikylässä, ulkoa hakekaamme!	fi
toi	PRON	tossa	Ja tossa se on.	fi
toi	PRON	Lang	Jopa supermarketin kassa, rouva Lang, kyselee aina, mitä Ihmemiehelle kuuluu.	fi
tavata	VERB	tapaatte	Jos kerran sellaisten kanssa tapaatte olla niin … omapa on asianne.	fi
tavata	VERB	tavatessanne	Jos hän vaikutti selväjärkiseltä tavatessanne hänet, teillä oli onnea.	fi
juttu	NOUN	jutuistaan	En tiedä hänen jutuistaan mitään.	fi
juttu	NOUN	juttujasi	Sä voit tehdä omia juttujasi parin tunnin ajan, minä sanon.	fi
elämä	NOUN	elämässäsi	Sinun täytyy itse päättää, mitä elämässäsi tapahtuu.	fi
elämä	NOUN	elämäsi	Sinä olet miettinyt tuota koko elämäsi!	fi
käyttää	VERB	käytät	Olen huomannut, että käytät enemmän toista kättäsi.	fi
käyttää	VERB	käyttämän	Lähellä paperin yläreunaa oli isäni aiemmin käyttämän lakiasiaintoimiston nimi ja osoite.	fi
aikoa	VERB	aio	En todellakaan aio kertoa töissä, mistä on kyse.	fi
aikoa	VERB	aikonee	Kun niin isot lunnaat tahtoo, mihin vielä aikonee myydä, toiselle eikä sinulle.	fi
oleva	VERB	olevinani	Nyt olin olevinani yksi heistä.	fi
oleva	VERB	olevin	Kaikin käytettävissä olevin keinoin, kunnes toisin määrätään.	fi
lopettaa	VERB	lopettavasi	Jos olisit kertonut minulle lopettavasi työt,- emme olisi menneet naimisiin.	fi
lopettaa	VERB	lopetimme	Kun hän lopetti, me myös lopetimme.	fi
hieno	ADJ	hienolle	Hän osti kukkia tai vei meidät hienolle päivälliselle tai sen sellaista.	fi
hieno	ADJ	hienoihin	Kuninkaan takana seisoi toinen, hienoihin vaatteisiin pukeutunut mies kasvoillaan kopea ilme.	fi
kolme	NUM	kolmelta	Nukahdin kolmelta ja heräsin seitsemältä.	fi
kolme	NUM	kolmesta	Asiantuntijat vastaavat, kumpi on kolmesta väittämästä oikeassa.	fi
osa	NOUN	osaltani	Älä pelkää, sinua ei uhkaa mikään paha minun osaltani.	fi
osa	NOUN	osakseen	Saiko hän osakseen rakkautta?	fi
käsi	NOUN	käsissäsi	Sinulla on verta käsissäsi!	fi
käsi	NOUN	käsiensä	Mutta Matti ei kuullut... hän jo käsiensä varassa nukkui.	fi
oma	ADJ	omillaan	Nyt hän on omillaan.	fi
oma	ADJ	omistani	Jos katsoisin häntä nyt, hänen kasvonsa olisivat vain senttien päässä omistani.	fi
kysyä	VERB	kysy	En minäkään kysy, että aiotko pian kuolla!	fi
kysyä	VERB	kysyminen	Mutta kysyminen ei maksa mitään.	fi
nainen	NOUN	naisestani	Oikeastaan hän luulee, että kysymys on minun naisestani.	fi
nainen	NOUN	naisessa	Tässä naisessa oli vähän samanlaista.	fi
hetki	NOUN	hetkeni	Luulin, että hetkeni oli tullut.	fi
hetki	NOUN	hetkenä	Hän huomaa sen, hän alkaa hetkenä minä hyvänsä epäillä, sillä hän ei luota sinuun.	fi
itse	PRON	itte	Voitais itte jauhaa omat viljat.	fi
muistaa	VERB	muistivat	Tuli päivä, jolloin he muistivat tämän keskustelun.	fi
muistaa	VERB	muistaminen	Ne voivat olla vaikeat ääntää, ja niiden muistaminen se vasta vaikeaa onkin.	fi
tie	NOUN	tiehesi	Älä pelkää, Riitta, ei se sinulle mitään taida... mene tiehesi täältä, kuuletko...	fi
tie	NOUN	tiellään	Kumma, kun jyvänsä muisti maksaa?... olisi nekin unohtanut yhdellä tiellään!...	fi
alas	ADV	alla	Kuusen alla istui pieni jänis.	fi
alas	ADV	alimmaksi	Hän, joka eilen itki tappiotaan, ei halua enää koskaan jäädä painiottelussa alimmaksi.	fi
taitaa	VERB	taidat	No, taidat sinä olla, ei kai siitä ole epäilystäkään.	fi
taitaa	VERB	taidettu	Ei me taidettu jutella synnytyksistäkään, mutta ei niistä tehty silloin mitään numeroa.	fi
sellainen	ADJ	sellaisissa	Ajan virtaus on sellaisissa paikoissa normaali, vaikka olette saattanut kuulla muuta.	fi
sellainen	ADJ	sellaiseksi	Nämäkään juhlat eivät ole minun, eivätkä sellaiseksi koskaan muutu.	fi
maa	NOUN	maassaan	Mutta harva oli se vieras, joka heidän maassaan oli käynyt.	fi
maa	NOUN	maalla	Siipien sijasta pitää vain olla pyörät, kun se kulkee maalla.	fi
ilma	NOUN	ilman	Mutta kun luin Johan Eklöfin Maailma ilman pimeää, ymmärsin, miten vaarallista valosaaste on.	fi
ilma	NOUN	ilmassa	Kun kiekko on ilmassa, maalivahti voi vain toivoa ennakoineensa oikein.	fi
valmis	ADJ	valmiita	Saitte löytää ensin itsenne, ja olette nyt valmiita tähän.	fi
valmis	ADJ	valmiina	Hautajaiset olivat tavallaan piristävää vaihtelua arkeen, sillä ruoka oli valmiina ja siivous kuului pakettiin.	fi
alkaa	VERB	alkanut	Kausi oli juuri alkanut.	fi
alkaa	VERB	aloitte	Ja sitten teistä jo tulikin vahvempia ja aloitte tappaa meitä sukupuuttoon.	fi
poliisi	NOUN	poliisina	Aivan kuin hän ei poliisina saisi selville kenelle auto kuuluu.	fi
poliisi	NOUN	poliisisi	Älä sitten rukoile minulta tietoja, kun poliisisi tarvitsevat niitä.	fi
toimia	VERB	toimisimme	Me toimisimme niin kuin poliisi, joka ehtii ampua ennen kuin häntä tähtäävä rikollinen.	fi
toimia	VERB	toimittaisiin	Matka oli harjoitus, jonka tarkoituksena oli tutustuttaa valtion ylin johto siihen, miten hätätilanteessa toimittaisiin.	fi
hauska	ADJ	hauskassa	Niitä on myös parissa muussa hauskassa paikassa.	fi
hauska	ADJ	hauskoista	He olivat poistuneet hauskoista juhlista yläkerrasta ja olivat aikeissa palata niihin mitä pikimmin.	fi
pysyä	VERB	pysyisimme	Niinpä hän yrittää pelotella meitä niin että pysyisimme sivussa.	fi
pysyä	VERB	pysyisitte	Mehän maksamme teille, jotta te pysyisitte poissa ravintolasta, tästä hetkestä lähtien, vai mitä?	fi
helvetti	NOUN	helvetistä	Mistä helvetistä hän sen tietää?	fi
helvetti	NOUN	helvettisi	Onko helvettisi kylmä vai kuuma tämä rytkeen keskellä?	fi
syödä	VERB	syötte	Kai te syötte lihaa?	fi
syödä	VERB	söisimme	Walter näytti yllättyneeltä. ” Oletin että söisimme kaikki yhdessä päivällistä täällä ”, hän sanoi.	fi
