lemma	pos	form	sentence	source_corpus
aeg	NOUN	ajast	Kuigi tal on veel natuke aega enda jaoks, läheb suurem osa tema ajast õppimiseks.	et
aeg	NOUN	aega	Talvel on tal veidi vaba aega.	et
mina	NOUN	minade	Kas sulle meeldib selline seesmine kooslus või käib erinevate minade vahel vaidlus?	et
vaatama	VERB	vaadanud	Kuhu ta on vaadanud?	et
vaatama	VERB	vaatab	Nende poeg vaatab ka telekat.	et
nad	PRON	neil	Kas neil on tütar?	et
nad	PRON	nende	Kas nende poeg vaatab telekat?	et
küll	NOUN	Küllaga	Küllaga oli tal aga empaatiavõimet teiste suhtes.	et
andma	VERB	antagu	Kui selliseid on, antagu tuld!	et
andma	VERB	anda	Kuid nad ei tea, millist nime lapsele anda.	et
tänama	VERB	tänanud	Ma olen tänanud mitu korda, ma olen tänulik ka praegu.	et
tänama	VERB	tänasime	Hostelis teenindas meid meeldivalt armeenlaste noorpere, keda järgmisel päeval pärast hommikusööki samuti lauluga tänasime.	et
me	PRON	meile	Meie vanemad andsid meile mõned ideed.	et
me	PRON	meiega	Meie poeg sööb koos meiega õhtusööki.	et
kuu	NOUN	kuid	Jane loeb raamatut, kuid jääb magama.	et
kuu	NOUN	kuul	Ta lõpetab ülikooli sel kuul.	et
kuulma	VERB	kuuldakse	Kes karjub kõige kõvemini, seda kuuldakse.	et
kuulma	VERB	kuulvat	Kuula helifaili ja lohista selle peale selle tuntud inimese pilt, keda arvasid kuulvat.	et
mees	NOUN	mees-	Võitlev feminist – olgu mees- või naissoost – ei tohiks unustada huumorit.	et
mees	NOUN	mehist	Sellist mehist ja intelligentset, mahuka, kuid mitte iialgi forsseeriva maneeriga baritoni oli nauding kuulata.	et
vajama	VERB	vaja	Aga mul on vaja uut arvutit.	et
vajama	VERB	vajab	Kuid ta vajab uut arvutit.	et
pea	ADV	pead	Su vanemad ütlesid sulle, et sa pead ülikooli minema.	et
pea	ADV	peaks	Õpetaja ütleb talle, et ta peaks hüppama.	et
tee	NOUN	teeks	Tema boss ütles talle, et on väga tähtis, et ta teeks head tööd.	et
tee	NOUN	teed	Kas Mike joob teed?	et
keegi	PRON	Kedagi	Kedagi võimsat, karvast, jõulist, kartmatut.	et
paluma	VERB	palun	Tule kohe siia, palun.	et
paluma	VERB	palutud	Miks tema peab olema jälle see, kes palutud asja ära tegi või järgi andis?	et
jääma	VERB	jään	Ma loen raamatut, kuid jään magama.	et
jääma	VERB	jäävad	Alles jäävad vaid mõned piletid.	et
siig	NOUN	siia	Tule kohe siia, palun.	et
siig	NOUN	Siia	Siia tuleks lisada ka nn külma sõja lõpetamine ja Nõukogude Liidu laiali laskmine.	et
inimene	NOUN	inimesi	Maanteel on iga päev liiga palju inimesi.	et
inimene	NOUN	inimesega	Nad olid tahtnud ühel päeval kohtuda kuulsa inimesega.	et
kord	NOUN	korraga	Bussid ei sõida enam ja sajad inimesed üritavad korraga lahkuda.	et
kord	NOUN	korda	Toomas otsustas esimest korda Tai toitu süüa.	et
leidma	VERB	leidsin	Ma leidsin, et on kasulik olla sõber nendega, kes ei joonud üldse.	et
leidma	VERB	leidsid	Sa leidsid, et on kasulik omada sõpru, kes ei joonud üldse.	et
mõtlema	VERB	mõelda	Võib-olla, kui ta saab magada, saab ta selle homme välja mõelda.	et
mõtlema	VERB	mõtlesime	Millest me ühel hetkel mõtlesime?	et
laskma	VERB	laskem	Ärgem laskem teda sisse.	et
laskma	VERB	lasite	Te lasite käest võimaluse näha harukordset, ütleksin isegi et ainukordset ilu.	et
asi	NOUN	asja	Ta teeb iga päev sama asja.	et
asi	NOUN	asjal	Igal asjal on oma hind.	et
tundma	VERB	tundnud	Ma ei tundnud end hästi.	et
tundma	VERB	tundsin	Ma tundsin, et kui ma seda teeksin, saaksin ehk magada.	et
hakkama	VERB	hakkas	Ta hakkas pileteid internetist otsima.	et
hakkama	VERB	hakkavad	Kus Peep ja ta vend elama hakkavad?	et
isa	NOUN	Isani	Ban Khori viipekeel( kasutatakse Isani piirkonnas Tais).	et
isa	NOUN	Isale	Isale ei meeldinud rääkida minevikust.	et
meil	NOUN	meilist	Piisas meilist justitsministeeriumile ja selgus oligi käes.	et
ise	PRON	enda	Kuigi tal on veel natuke aega enda jaoks, läheb suurem osa tema ajast õppimiseks.	et
ema	NOUN	emadele	Seda tuleb seletada muide ka emadele.	et
ema	NOUN	emad	Veel praegugi on paljud läti emad igal õhtul oma kadunud poegade kojunaasmise ootel.	et
ainu	NOUN	ainult	Ei, mitte kõik kliendid, ainult mõned kliendid on sõbralikud.	et
neid	NOUN	neiuga	Mõjus nii hästi, et isegi poolik pudel jäeti meile neiuga alles.	et
neid	NOUN	Neiul	Neiul oli seljas lühike seelik, mis põlved paljaks jättis.	et
kurat	NOUN	kuradis	Milles kuradis asi on?	et
kurat	NOUN	Kuradist	Ajapikku saab Kuradist kättemaksja.	et
meeldima	VERB	meeldisime	Tahaksin talle kirjutada, et kohtusime ja meeldisime teineteisele väga.	et
meeldima	VERB	meeldinud	Toomasele on Itaalia toit alati kõige rohkem meeldinud.	et
käsi	NOUN	Käeks	Meest kutsuti Mustaks Käeks.	et
käsi	NOUN	kätes	Seejärel oli kõik Skrzyczynski kätes.	et
jätma	VERB	jätad	Sa jätad tihti oma vihmavarju kuhugi maha, kui sa selle kaasa võtad.	et
jätma	VERB	jätsin	Ma lihtsalt jätsin selle vahele ja hakkasin uut albumit tegema.	et
töö	NOUN	tööta	Ei, ta ei tööta.	et
töö	NOUN	tööle	Ta sõidab oma autoga tööle.	et
viima	VERB	viiksid	Need kõik viiksid edasi Eestit tulevikku vaadates.	et
viima	VERB	viisime	Enne seda viisime läbi väga hoolika ja põhjaliku luure kõikide sihtmärkide osas.	et
päev	NOUN	päevana	Ma ei tea, miks, aga ütlesin kohe, et need mõjuvad mulle eilse päevana.	et
päev	NOUN	päeva	Päike paistis terve päeva.	et
jumal	NOUN	jumalaile	Iidsete aegade inimesed olid jumalaile lähemal ja see avaldus nende ebatavalises väekuses.	et
jumal	NOUN	Jumalani	Näitleja transfarmatsioon ehk teater on ka täna niidiots Jumalani.	et
aasta	NOUN	aastaid	Uue kodu ostmiseks on nad raha kogunud juba aastaid.	et
aasta	NOUN	aastate	Viimaste aastate jooksul on autode ühiskasutus kasvanud, sest liiklus on aina halvemaks muutunud.	et
iga	NOUN	eani	Tänapäeval peab inimene töötama suhteliselt kõrge eani.	et
iga	NOUN	ikka	Aga Markusl on ikka veel igav ja ta on väsinud.	et
nimi	NOUN	nime	Kuid nad ei tea, millist nime lapsele anda.	et
nimi	NOUN	nimeks	Meelis ja tema naine otsustavad anda lapsele nimeks Indrek.	et
naine	NOUN	naisega	Meil on naisega üks poeg ja üks tütar.	et
naine	NOUN	naisel	Meelisel ja tema naisel on üks poeg ja üks tütar.	et
uskuma	VERB	uskumas	Leidsin end sellesse uskumas.	et
uskuma	VERB	uskus	Ta uskus, et autentne mälu sünnib väikestes külakogukondades ja seda antakse edasi suuliselt.	et
suur	ADJ	suurde	Kõigepealt läheb ta suurde linna.	et
suur	ADJ	suureni	Su tõestus võib millegi suureni välja viia.	et
mill	NOUN	millist	Kuid nad ei tea, millist nime lapsele anda.	et
mill	NOUN	mille	Üks klass, mille ta valis on sotsioloogia.	et
hoidma	VERB	hoida	Kui ma seda teen saan palju raha kokku hoida.	et
hoidma	VERB	hoitakse	Kokku hoitakse ligi miljon eurot.	et
juhtuma	VERB	juhtuda	Mis võib juhtuda, kui tal läheb hästi?	et
juhtuma	VERB	juhtunud	Mis oleks juhtunud, kui Allan oleks palju toitu tellinud?	et
suutma	VERB	suudan	Ma lootsin, et suudan selle probleemi lahendada.	et
suutma	VERB	suutnud	Aga ma pole suutnud silmi sulgeda.	et
enam	ADJ	enama	Nendes sõiduradades saavad sõita ainult kahe, kolme või enama inimesega autod.	et
enam	ADJ	Enamat	Enamat kui silma, südant ja oskust sõnu kirja panna.	et
läbima	VERB	läbite	Palju neid kilomeetreid on, mis te iga päev läbite?	et
läbima	VERB	läbi	Ma mõtlen, kas ma saaksin oma töökaaslastega läbi.	et
kaks	NUM	kahe	Nendes sõiduradades saavad sõita ainult kahe, kolme või enama inimesega autod.	et
aru	NOUN	arule	Sellest tehti – jällegi lihtinimese arule kättesaamatult keerukate tehniliste protsesside abil – energiat.	et
sõber	NOUN	sõpradele	Ta tahab näidata oma pilte oma sõpradele.	et
sõber	NOUN	sõbral	Sel nädalavahetusel on Leo sõbral aga sünnipäev.	et
või	ADV	võis	Ta arvab, et ta võis hoopis põhja poole minna.	et
või	ADV	Võisid	Võisid minna panka, paljas kümme sõrme taskus, ning tulla sealt välja hoopis rikkama mehena.	et
tooma	VERB	tõi	Ta tõi oma poja täna meie majja, et saaksime temaga esimest korda kohtuda.	et
tooma	VERB	tõid	Nad tõid oma poja täna meie majja, et saaksime temaga esimest korda kohtuda.	et
panema	VERB	paneme	Me paneme oma poja kell kaheksa magama.	et
panema	VERB	panevad	Nad panevad oma poja kell kaheksa magama.	et
laps	NOUN	lapsele	Kuid nad ei tea, millist nime lapsele anda.	et
laps	NOUN	lapsed	Sel hetkel oli mul hea meel olla vanem naine, kellel on täiskasvanud lapsed.	et
ootama	VERB	oodanud	Tema poeg ja abikaasa olid samuti hommikusööki oodanud.	et
ootama	VERB	ootavat	Ma loodan, et meie sõbrad mõistavad peagi ees ootavat valikut.	et
i	NOUN	Id	Energia allikas on aga alateadvuses, seletamatus Miskis( Id).	et
i	NOUN	Is	Is Mike a cook?	et
algama	VERB	algas	Mul oli ainult natuke aega, enne kui töö algas.	et
algama	VERB	algab	Tema töö algab kell pool kaheksa hommikul.	et
mõni	PRON	mõnda	Siis kuulab ta mõnda laulu.	et
mõni	PRON	mõned	Kuid mõned kliendid ei ole sõbralikud.	et
tapma	VERB	tapaksite	Kas tapaksite veel mõne mehe?	et
tapma	VERB	tapate	Enne kui tapate, peate levitama kuulujutte, et ta on räpane.	et
kodu	NOUN	koduga	Eriti, kui seda võrrelda teise inimese rajatud koduga?	et
kodu	NOUN	kodusse	Teatavad inimesed olid valitud sihtmärgiks, tungiti nende kodusse, neid ähvardati, rünnati ja mõnikord tapeti.	et
teine	NOUN	teised	Mõned ideed on paremad kui teised.	et
teine	NOUN	teisteni	Tänapäeval ei jää enam midagi saladuseks, vaid info liigub kiiresti ka teisteni.	et
parem	ADJ	paremad	Mõned ideed on paremad kui teised.	et
parem	ADJ	paremat	Nad tunnevad, et saavad seal lihtsamat elu elada ja paremat pereelu nautida.	et
lõpetama	VERB	lõpetamas	Ma olin lõpetamas sel kuul.	et
lõpetama	VERB	lõpetan	Võib-olla lõpetan homme, või saab minust hoopis vana näitleja, kes mängib igavesti.	et
koguma	VERB	kogunud	Uue kodu ostmiseks on nad raha kogunud juba aastaid.	et
koguma	VERB	kogub	Kõigepealt kogub ta oma räpased riided kuhja.	et
selline	PRON	sellised	Millena olid sellised inimesed alati nõutud?	et
selline	PRON	Sellistega	Sellistega ei taha mitte keegi suhelda.	et
elama	VERB	elad	Elu on elu ja elad vaid korra.	et
elama	VERB	elasin	Ma elasin üksi väikeses korteris.	et
tüdruk	NOUN	tüdrukuta	Roomas pole ilma tüdrukuta huvitav.	et
tüdruk	NOUN	tüdrukutele	Jah, tüdrukutele on maadlus alati meeldinud.	et
aitama	VERB	aidake	Tean, et targem on nina mitte välja pista, aga aidake neid, kes on hädas.	et
aitama	VERB	aitaksime	Kindlasti toetan seda, et aitaksime neid, kes kõige rohkem abi vajavad.	et
vabandus	NOUN	Vabandusest	Vabandusest jääb väheks, söör!	et
kindel	ADJ	kindlasse	Sõna ei kuulu ühte kindlasse kohta, ta on tooraine.	et
kindel	ADJ	Kindlaks	Kindlaks määrati võtteperioodi algusaeg ja see, mis ajaks pidi film valmis olema.	et
uus	ADJ	uued	Kas püksid on uued?	et
uus	ADJ	uusi	Kas Karen teeb palju uusi asju?	et
armastama	VERB	armastate	Sest kui te armastate neid, kes teid armastavad, mis palka te saate?	et
armastama	VERB	armasta	Võib-olla on seegi minu kiiks, aga ma ei armasta neid eriti.	et
väike	ADJ	väikseid	Kindlasti ei tohiks jätta väikseid lapsi üksinda.	et
väike	ADJ	väikeses	Martin elab üksi väikeses korteris.	et
käima	VERB	käin	Ma käin iga päev koolis.	et
käima	VERB	käinud	Viimasel ajal ma olen käinud palju sõpradega õhtust söömas.	et
kohtama	VERB	kohtaksid	Kui kohtaksid mind, hakkaksid mind armastama nagu kord selles unenäos.	et
kohtama	VERB	Kohtan	Kohtan teda täna esimest korda ja ei tea veel, mis mind ees ootab.	et
raha	NOUN	Rahaga	Rahaga on tavaliselt kitsas ja lihtsam on see küsimus maha vaikida.	et
raha	NOUN	Rahal	Rahal, just sellel seaduslikul maksevahendil, on siiani olnud konkreetsed emitendid- selleks on olnud riigid.	et
oo	INTJ	oosid	Saar on väga tasane, kuid pinnamoele lisavad vorme oosid ja rannavallid.	et
helistama	VERB	helistan	Täna helistan ma oma klientidele, istudes samal ajal koosolekul.	et
helistama	VERB	helistame	Pole olemas surmataotlust, et võtame telefoni kätte, helistame ja hakkame avaldust täitma.	et
valmima	VERB	Valmib	Valmib Tallinna kunstikooli projekteerimine ja alustatakse ehitustöödega.	et
surema	VERB	sureb	Ta saaks umbes viieteistkümne aastaseks, kui ta sureb.	et
surema	VERB	suri	Ta oli viieteiskümnetaastane, kui ta suri.	et
koht	NOUN	kohti	Siis külastab ta linna mõningaid kuulsaid kohti.	et
koht	NOUN	kohale	Siim tuleb õigel ajal kohale.	et
auto	NOUN	autoga	Ta sõidab oma autoga tööle.	et
auto	NOUN	autodest	Siis, oletame, pildid autodest nüüd ja sada aastat tagasi.	et
kuulama	VERB	kuulan	Ma kuulan siis mõnda laulu.	et
kuulama	VERB	kuulab	Siis kuulab ta mõnda laulu.	et
tore	ADJ	toredasse	Ta on sisse võetud tüdrukust, kes suhtub temasse peagi kui ühte toredasse sõpra.	et
tore	ADJ	toredates	Veel üks tore hommik toredates tingimustes.	et
jõudma	VERB	jõuavad	Seetõttu on oluline, et nad mõtleksid sellele, kuidas nad pärast õhtusööki koju jõuavad.	et
jõudma	VERB	jõudsid	Toomas ja ta sõbrad jõudsid restorani.	et
pea	NOUN	peal	Kaelakee peal on sinine kass.	et
pea	NOUN	Päis	Päis tähistab puitu ja jalus betooni.	et
kordama	VERB	kordaksite	Kas te palun kordaksite?	et
kordama	VERB	kordaksin	Ja kõik küsisid mult sedasama küsimust, et ma kordaksin, et on küll äge.	et
mingi	NOUN	mingis	Lavaaugus olles on mingis mõttes mu lavaruum kitsam kui eales varem.	et
mingi	NOUN	mingitele	Mitte keegi, kes on toonud välja neid ohukohti, ei ole mingitele tehnilistele parameetritele viidanud.	et
otsima	VERB	otsisin	Ma otsisin uut tööd.	et
otsima	VERB	otsinud	Miks Jaanika uut tööd ei otsinud?	et
alla	ADP	Allas	Lisaks ilmusid tema illustratsioonid ja karikatuurid rootsikeelsetes ajakirjades Garm, Lunkentus, Vårbrodd ja Allas Krönika.	et
enda	PRON	endale	Ta tegi ka endale ja oma abikaasale teed.	et
enda	PRON	endasse	Ta võtab sind automaatselt endasse.	et
küsima	VERB	küsin	Ma küsin, kui palju need mustad kingad maksavad.	et
küsima	VERB	küsisite	Nemad ise pakuvad teile osa sellest, mida küsisite.	et
vahe	NOUN	vahest	Aga vahest ei ole ka?	et
vahe	NOUN	vahel	Valida saab ajavõtuga ja ilma ajavõtuta distantside vahel.	et
poiss	NOUN	poistega	Kui tahad ühineda suurte poistega, pead kõndima piiri peal.	et
poiss	NOUN	poistest	Ent enamik kohalikke biitbände koosnes sõna otseses mõttes poistest.	et
mõistma	VERB	mõistku	Aga ärgu teised ka mind hukka mõistku.	et
mõistma	VERB	mõistsin	Olen üritanud klassi kohta märkmeid teha, aga siis mõistsin, et olen ka pastaka unustanud.	et
igama	VERB	igavad	Ta arvab, et need on väga igavad.	et
igama	VERB	igavat	Kas Gunnar tahab igavat tööd?	et
silm	NOUN	silmi	Aga ma pole suutnud silmi sulgeda.	et
silm	NOUN	silmaks	Need pilgud torgivad, salvavad, sulavad kokku üheks kiirgavaks silmaks.	et
ait	NOUN	aidad	Kui ootamatult saabus nälg, avas isand oma aidad, et vaeseid toita.	et
ait	NOUN	aitades	Hiljem hoiti teri aukudes või aitades.	et
lahkuma	VERB	lahkuda	Bussid ei sõida enam ja sajad inimesed üritavad korraga lahkuda.	et
lahkuma	VERB	lahkugu	Kes ei suuda aga üllatada, pangu pillid kotti ja lahkugu lavalt.	et
tähendama	VERB	tähendanud	See oleks tähendanud pikka töölesõitu meie mõlema jaoks.	et
tähendama	VERB	tähendaks	See tähendaks nende mõlema jaoks pikka töölesõitu.	et
saatma	VERB	saadaksin	Mitu ameeriklaste põlvkonda te soovite, et ma saadaksin Afganistani kodusõda pidama?	et
saatma	VERB	saatku	E-Eestis oleks nii ilus – saatku failid, need on neil nagunii olemas.	et
toimuma	VERB	Toimus	Toimus paljugi, millest siin pikalt ei räägi.	et
toimuma	VERB	Toimub	Toimub ka kombineeritud distsipliinide arvestus.	et
töötama	VERB	töötasin	Aga ma töötasin palju, nii et mul polnud kunagi aega koristada.	et
töötama	VERB	töötad	Samuti töötad justkui pimedalt, videos saad kohe pildi üle vaadata.	et
ilm	NOUN	ilma	Tavaliselt vaatas ta välja, et kontrollida ilma.	et
ilm	NOUN	ilmadest	See tuleb soojematest ilmadest ja pikematest päevadest.	et
näitama	VERB	näidata	Ta tahab näidata oma pilte oma sõpradele.	et
näitama	VERB	näitab	See trend on igal aastal olnud kasvav, mis näitab, et oleme õigel teel.	et
õhtu	NOUN	Õhtust	Õhtust aega ei kasutanud keegi.	et
õhtu	NOUN	Õhtuni	Õhtuni likvideerisid tulekahju tagajärgi päästekompanii ja vahipataljoni mehed.	et
kutsuma	VERB	kutsunud	Ta oli mind hiljuti õhtusöögile kutsunud.	et
kutsuma	VERB	kutsugu	Osatas mind, et kutsugu ma see Reeveli kass endale koju uksi polsterdama!	et
kohtuma	VERB	kohtuta	Teiste kunstnikega ei kohtuta, sest nemad tulevad hiljem või on juba ära läinud.	et
kohtuma	VERB	kohtusite	Kui palju sul oli valmis mõeldud enne, kui Luule ja Peetriga kohtusite?	et
maja	NOUN	majja	Ta tõi oma poja täna meie majja, et saaksime temaga esimest korda kohtuda.	et
maja	NOUN	majasid	Milliseid majasid on inimkonnale ellujäämiseks vaja?	et
kolm	NUM	kolme	Allan tahtis tellida kolme erinevat rooga.	et
kasutama	VERB	kasutagem	Olgem selle võimaluse eest tänulikud ja kasutagem seda.	et
kasutama	VERB	kasutan	Ma kasutan arvutit palju.	et
hetk	NOUN	hetkel	Sel hetkel oli mul hea meel olla vanem naine, kellel on täiskasvanud lapsed.	et
hetk	NOUN	hetkega	Veelgi enam, ma saan tellida iga raamatu, mida ma tahan, hetkega interneti teel.	et
abi	NOUN	Abid	Abid aitavad ette valmistada taustamaterjale, otsivad eelnõudest küsitavusi, aitavad ette valmistada muudatusettepanekuid.	et
mängima	VERB	mängiti	Kas mängiti viite uut filmi?	et
mängima	VERB	mängida	Talle meeldib arvutis mängida.	et
õige	ADJ	õigetele	Kui midagi on tõesti halvasti või üle mõistuse, tuleb seda lihtsalt õigetele inimestele öelda.	et
õige	ADJ	õigest	Kõige tähtsam oli saada õige suunaga ja õigest kohast minema.	et
pan	NOUN	Panid	Panid liiga hästi kahjuks.	et
terve	ADJ	terveteks	Kümme päeva möödus, köha läks üle ja Soome nakkushaigusõde kuulutas meid terveteks.	et
terve	ADJ	tervetesse	See näitab,kuidas suhtututakse puudega inimestesse ja tervetesse inimestesse.	et
mõte	NOUN	mõttelt	Ikka ja jälle, kui loen või kuulan luulet, taban end sellelt mõttelt.	et
mõte	NOUN	mõteteks	Mõnikord ongi suurteks mõteteks tarvis palju ruumi.	et
lubama	VERB	lubaksite	Kuna riigid liiguvad väljumiskavade suunas, oleksime tänulikud, kui lubaksite laevafirmadel võimalikult kiiresti uuesti tegutseda.	et
lubama	VERB	Lubasin	Lubasin täpselt veerand tunni pärast tagasi olla ja oodata ooteruumis.	et
viimane	ADJ	viimastel	Miks on autojagamine viimastel aastatel kasvanud?	et
viimane	ADJ	viimaselt	Geerts suutis siiki sõitu jätkata ja viimaselt kohalt tõusis ta lõpuks üheksandaks.	et
kaasama	VERB	kaasavad	Nad kaasavad tehnoloogia, teised kunstivormid ja teevad asju teistmoodi.	et
kaasama	VERB	kaasataks	Sestap sooviks ta näha kordusuuringut, kuhu kaasataks rohkem erinevat tõugu neljajalgseid.	et
vabandama	VERB	vabandate	Millega te ennast välja vabandate?	et
vabandama	VERB	vabandasin	Tõstsin käed üles ja vabandasin.	et
probleem	NOUN	probleemi	Ta loodab, et suudab selle probleemi lahendada.	et
probleem	NOUN	probleeme	Ta on seda tööd väga nautinud, kuigi tal on ülemusega probleeme olnud.	et
tunduma	VERB	tundusite	Seda on võitjatelt alati sümpaatne kuulda, aga te tundusite olevat täiesti siiras.	et
tunduma	VERB	tundun	Kolleeg Robert Annus ütles, et tundun rahulikum kui eelnevatel päevadel.	et
härra	NOUN	härral	Koalitsiooni läbirääkimised otsustavad, nii mitmelgi härral on siin tekkinud ambitsioone olla linnapea.	et
härra	NOUN	härrale	Siis annavad härrale enesele peksa, vaat et narrivad tütregi ära.	et
mäletama	VERB	mäletanud	Ta ei mäletanud hiljem, mida või kas üldse ta sel hetkel mõtles.	et
mäletama	VERB	mäletaksid	Selleks, et oleks tunnistajaid, kes pärast mäletaksid, kuidas kõik juhtus.	et
tund	NOUN	tunni	Poes ootasin sõpra terve tunni.	et
tund	NOUN	tunnid	Kõik tema tunnid on üheksakümmend minutit pikad.	et
poeg	NOUN	poega	Tal oli kaks poega ja tütar.	et
poeg	NOUN	poja	Nad panevad oma poja kell kaheksa magama.	et
viga	NOUN	vea	Ta muretseb, et ta vallandatakse, kui ta vea teeb.	et
viga	NOUN	Vigade	Vigade tegemine valkude sünteesil on üks peamine haiguste tekkimise põhjus.	et
kogu	NOUN	kokku	Kui ma seda teen saan palju raha kokku hoida.	et
kogu	NOUN	Kogust	Nii on see olnud Asutavast Kogust saati.	et
vana	ADJ	vanad	Aga need on väga vanad.	et
vana	ADJ	Vanal	Ei olnud Vanal Hallil häda midagi.	et
tohtima	VERB	tohtisin	Ja kuna luuletus oli läbi ja see lihtsalt juhtus, siis ma tohtisin seda teha.	et
tohtima	VERB	tohtis	Nõukogude ajal olid muidugi lausa ametlikud kvoodid, kui palju teatud keeltest tõlkida tohtis.	et
võimalus	NOUN	võimaluse	Sellest hoolimata leiab Kendra võimaluse võistelda.	et
võimalus	NOUN	võimaluseni	Kuni sellise võimaluseni, et äkki näitlejaga juhtub midagi.	et
pärima	VERB	päriks	Polnud kedagi, kes neid päriks.	et
pärima	VERB	pärisite	Miks te siis palju pärisite, tolvanid?	et
keegi	NOUN	kellegagi	Kas Martin elab kellegagi koos?	et
keegi	NOUN	kellekski	Isegi siis, kui muutud kellekski teiseks.	et
unustama	VERB	unustan	Mõnikord ma lihtsalt unustan selle võtta.	et
unustama	VERB	unustaksite	Kuid võlgnen teile nii palju, et mul oleks väga kahju, kui mu unustaksite.	et
